id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste,client_category
F003754,Celine Renaud,2023-10-29,2023-11-28,2024-01-14,9140.64,7869.33,1271.31,1st_degree_bad
F003921,Celine Rousseau,2022-11-20,2022-12-20,2022-12-18,3041.01,2365.24,675.77,average
F000832,Nathalie Gauthier,2022-09-28,2022-10-28,2022-10-29,2709.65,1993.99,715.66,average
F001526,Vincent Morin,2024-02-18,2024-03-19,2024-05-03,16005.51,6005.81,9999.7,2nd_degree_bad
F000011,Emma Chevalier,2024-02-21,2024-03-22,,12611.44,7566.83,5044.61,1st_degree_bad
F004448,Sophie Bernard,2023-06-27,2023-07-27,,5837.17,3070.53,2766.64,1st_degree_bad
F002447,Pierre Martin,2025-05-29,2025-06-28,2025-08-15,5760.5,2257.65,3502.85,2nd_degree_bad
F001745,Stephane Brun,2023-06-29,2023-07-29,2023-07-29,1905.6,1862.27,43.33,excellent
F004119,Laura Masson,2023-06-28,2023-07-28,2023-10-04,1323.37,854.4,468.97,1st_degree_bad
F003915,Antoine Petit,2024-02-08,2024-03-09,2024-03-09,3423.77,3360.32,63.45,average
F004258,Marie Philippe,2023-02-24,2023-03-26,2023-05-17,15788.25,8195.52,7592.73,2nd_degree_bad
F002415,Adrien Blanc,2024-04-10,2024-05-10,2024-05-08,3176.54,3145.28,31.26,average
F004110,Claire Chevalier,2024-08-20,2024-09-19,2024-12-27,4829.06,1952.37,2876.69,2nd_degree_bad
F000995,Louis Moreau,2024-02-07,2024-03-08,2024-03-22,334.95,306.9,28.05,average
F001115,Anne Lefevre,2023-03-29,2023-04-28,2023-04-30,1207.1,1117.88,89.22,excellent
F002158,Amelie Perrot,2025-09-13,2025-10-13,,9619.44,5734.93,3884.51,1st_degree_bad
F003342,Laura Guerin,2025-03-30,2025-04-29,,9206.85,3691.7,5515.15,3rd_degree_bad
F003374,Jerome Morin,2024-05-27,2024-06-26,2024-08-17,15982.69,9338.74,6643.95,1st_degree_bad
F002108,Antoine Garnier,2023-06-11,2023-07-11,2023-09-10,13323.49,1137.05,12186.44,3rd_degree_bad
F001411,Paul Brun,2022-09-24,2022-10-24,2023-01-20,7598.15,3098.46,4499.69,2nd_degree_bad
F001781,Corinne David,2024-10-14,2024-11-13,2025-02-08,14669.03,5237.0,9432.03,2nd_degree_bad
F003348,Laura Guerin,2025-05-06,2025-06-05,2025-07-11,12783.06,993.25,11789.81,3rd_degree_bad
F002384,Thomas Blanc,2024-01-26,2024-02-25,2024-02-25,299.49,218.52,80.97,average
F003725,Camille Petit,2025-01-16,2025-02-15,2025-02-16,3930.3,3223.1,707.2,average
F000371,Marion Brun,2023-06-06,2023-07-06,2023-07-02,1614.48,1352.47,262.01,average
F003398,Manon Morin,2023-07-09,2023-08-08,2023-08-06,2601.21,2013.28,587.93,average
F002056,Corinne Moreau,2024-06-28,2024-07-28,2024-09-27,6363.07,3588.4,2774.67,1st_degree_bad
F003042,Vincent Petit,2022-11-24,2022-12-24,2023-02-18,11589.88,3750.31,7839.57,2nd_degree_bad
F003522,Valerie Laurent,2025-04-16,2025-05-16,,3947.27,3224.14,723.13,average
F003746,Camille Garcia,2025-07-03,2025-08-02,2025-08-03,2442.54,2112.15,330.39,average
F002180,Sebastien Moreau,2023-08-21,2023-09-20,2023-12-06,9223.26,5216.71,4006.55,1st_degree_bad
F004897,Corinne Martin,2023-10-02,2023-11-01,2024-01-07,8860.08,4666.84,4193.24,2nd_degree_bad
F002423,Paul Bernard,2022-09-28,2022-10-28,2022-11-22,5046.56,4453.24,593.32,average
F004997,Laura David,2022-11-04,2022-12-04,2022-12-03,1101.33,993.39,107.94,good
F002880,Thomas Philippe,2025-08-05,2025-09-04,2025-11-12,14903.77,1806.11,13097.66,3rd_degree_bad
F000110,Marion Robin,2024-11-10,2024-12-10,2024-12-25,5064.13,4052.37,1011.76,average
F000759,Jerome Chevalier,2024-03-04,2024-04-03,2024-04-01,1623.6,1496.2,127.4,good
F004764,Laura Marchand,2025-04-11,2025-05-11,2025-06-10,906.5,734.74,171.76,average
F001914,Romain Morin,2024-03-22,2024-04-21,2024-04-22,3895.18,3015.21,879.97,average
F001308,Marc Michel,2023-11-19,2023-12-19,2024-01-26,6444.62,4561.26,1883.36,1st_degree_bad
F003546,Luc Perrot,2025-08-24,2025-09-23,2025-09-24,5983.39,3554.88,2428.51,1st_degree_bad
F004958,Marc Gerard,2024-11-19,2024-12-19,2025-02-18,9967.21,3208.72,6758.49,2nd_degree_bad
F002564,Amelie Brun,2023-04-24,2023-05-24,2023-07-13,8989.94,6268.41,2721.53,1st_degree_bad
F000933,Marie Martin,2023-11-01,2023-12-01,2023-11-26,3704.94,3078.34,626.6,average
F001186,Damien Masson,2025-05-31,2025-06-30,2025-08-28,14147.24,4361.13,9786.11,3rd_degree_bad
F001312,Marc Michel,2023-08-01,2023-08-31,2023-10-29,7378.17,3810.32,3567.85,1st_degree_bad
F000386,Adrien Michel,2024-08-13,2024-09-12,2024-10-30,12888.43,2126.19,10762.24,3rd_degree_bad
F002926,Laura Moreau,2023-11-18,2023-12-18,2023-12-17,3242.85,2520.27,722.58,average
F003863,Anne Blanc,2023-03-17,2023-04-16,2023-04-11,2177.6,1886.31,291.29,excellent
F003908,Julie Muller,2022-11-12,2022-12-12,2022-12-11,1874.02,1817.0,57.02,excellent
F001738,Baptiste Leclerc,2023-05-23,2023-06-22,2023-06-19,1195.09,1118.16,76.93,good
F001870,Nathalie Dubois,2024-07-25,2024-08-24,2024-08-20,1090.57,1082.64,7.93,good
F003290,Romain David,2025-01-29,2025-02-28,,1760.58,1252.76,507.82,average
F004438,Helene Bernard,2023-09-05,2023-10-05,2023-10-05,3696.36,3060.41,635.95,average
F001288,Marie Chevalier,2023-08-16,2023-09-15,2023-09-14,9422.21,5625.52,3796.69,1st_degree_bad
F000202,Elodie Dupont,2024-06-12,2024-07-12,2024-07-13,2345.02,2076.07,268.95,average
F000476,Manon Lefevre,2023-01-07,2023-02-06,2023-03-09,2277.24,1723.69,553.55,average
F001476,Alexandre Masson,2024-06-02,2024-07-02,,1111.36,829.29,282.07,average
F001405,Romain Petit,2024-12-27,2025-01-26,2025-01-22,1653.73,1082.43,571.3,excellent
F002347,Nathalie Perrot,2023-03-13,2023-04-12,2023-04-07,1151.21,878.37,272.84,good
F004277,Adrien Martin,2024-12-04,2025-01-03,2025-02-27,6260.82,1031.56,5229.26,3rd_degree_bad
F003222,Thomas Masson,2023-09-29,2023-10-29,2023-10-24,1093.22,1093.22,0.0,good
F002205,Sarah Leclerc,2025-07-06,2025-08-05,,8909.53,4050.9,4858.63,1st_degree_bad
F001588,Corinne Faure,2023-04-17,2023-05-17,2023-05-13,2530.58,2449.15,81.43,average
F000234,Sophie Leclerc,2023-09-05,2023-10-05,2023-10-05,5106.69,4337.88,768.81,average
F001511,Celine Blanc,2024-07-01,2024-07-31,2024-10-10,7999.18,1068.78,6930.4,3rd_degree_bad
F004747,Alexandre Gauthier,2025-09-08,2025-10-08,2025-11-18,3594.02,2365.64,1228.38,1st_degree_bad
F003572,Stephane Gerard,2024-11-05,2024-12-05,2024-12-06,1117.03,1117.03,0.0,excellent
F004445,Sophie Bernard,2025-09-14,2025-10-14,2025-12-05,9899.24,4479.24,5420.0,1st_degree_bad
F002854,Isabelle Michel,2022-12-09,2023-01-08,2023-03-12,7502.57,2770.11,4732.46,2nd_degree_bad
F000647,Sophie Brun,2022-10-15,2022-11-14,2022-11-11,475.55,387.07,88.48,good
F004395,Jerome Renaud,2024-02-10,2024-03-11,2024-05-10,11347.65,2026.12,9321.53,3rd_degree_bad
F002542,Celine Garnier,2024-03-26,2024-04-25,2024-04-25,5315.55,4867.18,448.37,average
F003113,Sebastien Perrin,2024-10-18,2024-11-17,2024-12-30,15836.92,4471.27,11365.65,2nd_degree_bad
F004666,Marion Garcia,2023-05-25,2023-06-24,2023-06-23,627.15,627.15,0.0,excellent
F000084,Marie Faure,2024-05-30,2024-06-29,2024-06-24,4774.78,4000.39,774.39,average
F004804,Stephane Muller,2024-02-16,2024-03-17,2024-04-06,3755.85,2064.48,1691.37,average
F002379,Adrien Laurent,2025-04-12,2025-05-12,2025-05-13,5655.2,5495.78,159.42,average
F000702,Sebastien Masson,2024-01-10,2024-02-09,2024-02-09,10635.18,2855.66,7779.52,2nd_degree_bad
F003435,Emma Faure,2023-03-14,2023-04-13,2023-05-02,1429.76,1256.47,173.29,average
F001417,Damien Moreau,2024-09-10,2024-10-10,,50.0,0.0,50.0,3rd_degree_bad
F000791,Antoine Philippe,2024-01-13,2024-02-12,2024-04-08,15125.93,5256.48,9869.45,2nd_degree_bad
F000998,Camille Renaud,2025-03-02,2025-04-01,2025-03-31,889.66,830.87,58.79,good
F001377,Aurelie Gauthier,2024-05-08,2024-06-07,2024-06-08,3415.34,3231.89,183.45,good
F001725,Celine Gerard,2023-04-04,2023-05-04,2023-04-30,1862.36,1842.47,19.89,good
F001642,Sebastien Blanc,2023-12-22,2024-01-21,2024-01-23,745.23,745.23,0.0,excellent
F001438,Damien Laurent,2025-01-10,2025-02-09,2025-04-01,18942.59,4390.38,14552.21,3rd_degree_bad
F000448,Marion Garnier,2024-11-19,2024-12-19,2025-01-30,20.0,18.43,1.57,average
F002725,Nathalie Dupont,2025-03-22,2025-04-21,,19594.73,4480.69,15114.04,3rd_degree_bad
F002663,Nicolas Laurent,2024-06-16,2024-07-16,,16992.77,7465.23,9527.54,2nd_degree_bad
F002446,Pierre Martin,2023-08-10,2023-09-09,2023-09-07,12970.05,4730.7,8239.35,2nd_degree_bad
F004189,Antoine Morin,2023-03-07,2023-04-06,,2756.23,2496.3,259.93,average
F004060,Isabelle Guerin,2023-01-20,2023-02-19,2023-02-18,2590.06,2590.06,0.0,good
F004589,Anne Morin,2023-09-15,2023-10-15,2023-12-07,9381.08,2650.06,6731.02,3rd_degree_bad
F002422,Paul Bernard,2023-10-26,2023-11-25,2023-11-20,4413.11,2621.56,1791.55,average
F000962,Manon Robin,2024-08-29,2024-09-28,2024-11-14,11163.43,3051.25,8112.18,3rd_degree_bad
F001697,Baptiste Muller,2022-10-16,2022-11-15,,2884.48,2042.77,841.71,1st_degree_bad
F002495,Baptiste Perrot,2023-05-21,2023-06-20,,2478.0,2237.81,240.19,average
F004373,Laura Gerard,2023-08-13,2023-09-12,2023-09-10,4016.38,3254.8,761.58,average
F001104,Romain Robin,2023-10-29,2023-11-28,2024-01-15,10398.42,1279.95,9118.47,3rd_degree_bad
F001596,Damien Gauthier,2023-10-19,2023-11-18,2023-12-10,12655.92,9171.37,3484.55,1st_degree_bad
F001851,Elodie David,2025-02-14,2025-03-16,2025-03-15,2116.37,2116.37,0.0,excellent
F002824,Marion Leclerc,2024-09-15,2024-10-15,2024-10-17,390.62,333.08,57.54,excellent
F004820,Marc Bernard,2023-09-07,2023-10-07,2023-10-22,3159.12,2374.79,784.33,average
F002925,Laura Moreau,2023-04-22,2023-05-22,2023-06-14,2798.36,2060.82,737.54,average
F004682,Olivier Perrot,2024-09-20,2024-10-20,2024-12-15,12443.25,4764.85,7678.4,3rd_degree_bad
F003149,Hugo Blanc,2023-01-19,2023-02-18,2023-02-20,4486.43,2668.84,1817.59,average
F003800,Elodie Rousseau,2025-08-19,2025-09-18,2025-09-19,1190.25,1151.66,38.59,excellent
F001303,Antoine Chevalier,2023-04-26,2023-05-26,2023-06-16,4220.65,3931.67,288.98,average
F003703,Marion Guerin,2024-02-11,2024-03-12,2024-03-09,1344.57,1344.57,0.0,excellent
F001557,Damien Robin,2025-04-25,2025-05-25,2025-07-08,10947.15,439.47,10507.68,3rd_degree_bad
F004672,Louis Garnier,2025-05-27,2025-06-26,2025-06-25,1875.08,1317.59,557.49,average
F002399,Valerie Garnier,2023-05-04,2023-06-03,2023-06-03,2015.99,2015.99,0.0,excellent
F001609,Corinne Guerin,2023-07-09,2023-08-08,2023-08-17,3418.13,3418.13,0.0,average
F003719,Vincent Gauthier,2023-03-31,2023-04-30,2023-04-27,2083.27,1764.56,318.71,average
F002188,Sarah Gerard,2025-06-27,2025-07-27,,15523.13,12323.4,3199.73,1st_degree_bad
F000987,Adrien Bernard,2024-09-12,2024-10-12,2024-10-13,4061.26,3906.28,154.98,average
F002532,Sarah Rousseau,2023-11-28,2023-12-28,2023-12-24,2571.97,2117.15,454.82,good
F004325,Emma Garcia,2025-05-27,2025-06-26,2025-06-27,1418.23,1166.84,251.39,average
F002167,Jerome Laurent,2023-01-29,2023-02-28,2023-04-23,10542.46,1884.34,8658.12,2nd_degree_bad
F001060,Stephane Moreau,2023-12-05,2024-01-04,2024-03-27,6689.44,2706.44,3983.0,2nd_degree_bad
F000349,Marie Leclerc,2024-03-21,2024-04-20,2024-07-02,7347.53,4478.92,2868.61,1st_degree_bad
F004654,Luc Faure,2024-11-10,2024-12-10,,11203.5,7524.26,3679.24,1st_degree_bad
F003431,Paul Muller,2024-09-24,2024-10-24,2024-10-19,3901.87,3086.09,815.78,average
F003809,Louis Rousseau,2024-06-17,2024-07-17,2024-07-15,1400.29,1310.87,89.42,average
F002234,Aurelie Leclerc,2022-12-22,2023-01-21,2023-04-22,11096.34,2287.17,8809.17,3rd_degree_bad
F001584,Paul Robin,2023-01-15,2023-02-14,2023-02-13,4513.09,3120.32,1392.77,average
F004886,Jean Garcia,2022-12-17,2023-01-16,2023-04-14,16937.36,3212.84,13724.52,3rd_degree_bad
F003566,Paul Dupont,2023-08-11,2023-09-10,2023-10-18,19033.73,6476.22,12557.51,2nd_degree_bad
F004686,Olivier Perrot,2022-11-11,2022-12-11,2023-02-13,15440.71,1304.94,14135.77,3rd_degree_bad
F004579,Anne Morin,2023-04-01,2023-05-01,2023-07-16,9996.62,1454.97,8541.65,3rd_degree_bad
F000983,Helene Brun,2023-06-22,2023-07-22,2023-07-22,997.71,997.71,0.0,good
F001593,Damien David,2023-03-21,2023-04-20,2023-05-04,1532.51,1287.15,245.36,average
F000863,Luc Leclerc,2023-06-01,2023-07-01,2023-08-14,12505.28,8751.99,3753.29,1st_degree_bad
F004129,Emma Martin,2024-05-03,2024-06-02,2024-05-29,1388.25,708.56,679.69,1st_degree_bad
F001762,Jean Dubois,2024-12-22,2025-01-21,2025-03-23,10993.92,7392.17,3601.75,1st_degree_bad
F001231,Olivier Renaud,2023-06-09,2023-07-09,2023-08-29,14547.92,4503.91,10044.01,2nd_degree_bad
F002484,Baptiste Perrin,2024-02-08,2024-03-09,2024-04-22,11139.05,5216.57,5922.48,2nd_degree_bad
F002092,Jerome Martin,2022-10-29,2022-11-28,2023-01-05,3329.31,2699.08,630.23,average
F001695,Adrien Moreau,2023-12-26,2024-01-25,2024-01-24,20.0,12.95,7.05,average
F000102,Pierre Chevalier,2023-01-31,2023-03-02,2023-03-03,1076.16,854.73,221.43,good
F001235,Olivier Renaud,2023-04-18,2023-05-18,,11620.46,4806.94,6813.52,2nd_degree_bad
F003855,Marion Perrin,2023-02-08,2023-03-10,2023-04-08,3574.46,3350.17,224.29,average
F001559,Damien Robin,2024-04-25,2024-05-25,2024-08-15,4333.45,151.03,4182.42,3rd_degree_bad
F003191,Aurelie Martin,2023-03-16,2023-04-15,2023-04-13,1634.27,1634.27,0.0,excellent
F001759,Jean Dubois,2025-06-11,2025-07-11,2025-09-04,8930.52,3132.09,5798.43,1st_degree_bad
F000745,Manon Masson,2022-10-20,2022-11-19,2022-12-09,2038.17,1916.96,121.21,average
F002346,Nathalie Perrot,2024-02-17,2024-03-18,2024-03-20,624.22,619.18,5.04,good
F004478,Elodie Renaud,2025-05-05,2025-06-04,2025-07-11,6859.93,1999.85,4860.08,3rd_degree_bad
F001612,Claire Marchand,2025-03-04,2025-04-03,2025-04-03,20.0,18.01,1.99,average
F002026,Baptiste Renaud,2025-05-16,2025-06-15,2025-07-20,3963.89,3963.89,0.0,average
F002539,Celine Garnier,2023-09-22,2023-10-22,2023-10-22,2191.28,2099.61,91.67,average
F002202,Sarah Leclerc,2025-08-02,2025-09-01,2025-10-18,4911.16,3599.34,1311.82,1st_degree_bad
F003354,Laura Guerin,2024-05-04,2024-06-03,2024-08-17,18014.15,2260.51,15753.64,3rd_degree_bad
F001075,Valerie Philippe,2025-07-09,2025-08-08,2025-09-04,19891.62,5291.11,14600.51,3rd_degree_bad
F003999,Damien Blanc,2023-07-26,2023-08-25,2023-10-26,5406.44,692.69,4713.75,3rd_degree_bad
F003857,Marion Perrin,2023-01-19,2023-02-18,2023-03-15,1918.15,1571.85,346.3,average
F001900,Camille Michel,2023-06-25,2023-07-25,2023-08-15,3187.88,2862.68,325.2,average
F000801,Hugo Philippe,2023-11-18,2023-12-18,2024-02-07,12230.65,6640.56,5590.09,2nd_degree_bad
F001653,Manon Martin,2022-12-18,2023-01-17,2023-04-08,11034.49,4655.24,6379.25,2nd_degree_bad
F000944,Julie Faure,2023-04-03,2023-05-03,2023-05-17,4967.95,4308.65,659.3,average
F004104,Amelie Blanc,2025-09-15,2025-10-15,2025-10-14,2365.9,2311.92,53.98,average
F000395,Adrien Michel,2024-05-06,2024-06-05,2024-07-17,15610.49,2104.25,13506.24,3rd_degree_bad
F000725,Stephane Perrin,2024-05-30,2024-06-29,2024-07-05,2392.12,2264.88,127.24,average
F004576,Paul Dubois,2024-08-10,2024-09-09,2024-09-08,1885.29,1472.7,412.59,average
F002628,Sophie Muller,2023-09-06,2023-10-06,,3153.75,2719.02,434.73,average
F002378,Helene Michel,2024-07-20,2024-08-19,2024-08-17,2092.34,2092.34,0.0,good
F001432,Damien Laurent,2025-03-27,2025-04-26,2025-06-10,13451.74,3027.97,10423.77,3rd_degree_bad
F000980,Nicolas Marchand,2022-11-13,2022-12-13,2023-01-09,4138.89,3506.38,632.51,average
F004036,Paul Gerard,2023-01-10,2023-02-09,2023-02-08,700.74,700.74,0.0,good
F003445,Adrien Rousseau,2024-06-16,2024-07-16,2024-07-18,972.5,972.5,0.0,excellent
F004991,Olivier Blanc,2023-05-07,2023-06-06,2023-08-08,5400.96,3322.51,2078.45,1st_degree_bad
F003185,Vincent Laurent,2024-07-21,2024-08-20,2024-10-16,7111.76,3970.16,3141.6,1st_degree_bad
F003193,Alexandre Brun,2024-03-20,2024-04-19,2024-04-15,743.79,743.79,0.0,excellent
F001687,Amelie Bernard,2025-08-02,2025-09-01,2025-09-03,2877.95,2107.89,770.06,average
F001006,Amelie Dupont,2025-02-25,2025-03-27,2025-04-21,1404.25,1252.63,151.62,average
F000456,Aurelie Moreau,2023-05-21,2023-06-20,2023-08-23,15154.09,6213.52,8940.57,2nd_degree_bad
F002414,Adrien Blanc,2025-09-11,2025-10-11,2025-10-06,2851.76,2322.85,528.91,average
F003146,Louis Dupont,2024-08-30,2024-09-29,2024-10-03,5128.85,4324.62,804.23,average
F003184,Vincent Laurent,2022-11-18,2022-12-18,2023-02-14,8025.3,4333.2,3692.1,1st_degree_bad
F004190,Antoine Morin,2024-09-26,2024-10-26,2024-10-25,3783.11,3293.55,489.56,average
F000355,Damien Bernard,2024-01-09,2024-02-08,,3494.25,3282.19,212.06,average
F004391,Jerome Renaud,2022-09-19,2022-10-19,,11270.12,0.0,11270.12,3rd_degree_bad
F001987,Valerie Perrot,2024-08-04,2024-09-03,2024-11-02,8597.11,4103.53,4493.58,2nd_degree_bad
F004850,Valerie Blanc,2024-07-14,2024-08-13,,5319.76,2391.23,2928.53,1st_degree_bad
F001138,Aurelie Bernard,2023-02-20,2023-03-22,2023-03-21,1114.66,976.56,138.1,good
F004627,Sarah Michel,2022-10-23,2022-11-22,2022-12-18,2651.93,1995.89,656.04,average
F001893,Emma David,2025-06-11,2025-07-11,2025-08-22,11749.49,2123.4,9626.09,3rd_degree_bad
F003796,Adrien Gauthier,2024-02-23,2024-03-24,2024-03-21,1373.97,1195.94,178.03,good
F002213,Marie Perrot,2023-11-22,2023-12-22,2024-02-24,19278.92,6411.7,12867.22,3rd_degree_bad
F001813,Sarah Muller,2023-02-07,2023-03-09,2023-03-06,1482.09,1036.02,446.07,average
F004074,Sarah Robin,2025-08-28,2025-09-27,2025-11-01,3955.24,3716.66,238.58,average
F000545,Stephane Perrot,2023-09-08,2023-10-08,2023-12-19,8368.3,5196.34,3171.96,1st_degree_bad
F000409,Antoine Robin,2025-08-02,2025-09-01,2025-09-02,2383.92,1972.7,411.22,excellent
